Date,Open,High,Low,Close,Volume
30-Jul-10,11.29,11.32,11.29,11.31,415343
29-Jul-10,11.34,11.34,11.28,11.31,509468
28-Jul-10,11.34,11.35,11.28,11.28,524973
27-Jul-10,11.35,11.35,11.34,11.35,204504
26-Jul-10,11.36,11.36,11.33,11.35,518187
23-Jul-10,11.32,11.35,11.31,11.35,490309
22-Jul-10,11.34,11.37,11.32,11.34,664772
21-Jul-10,11.31,11.33,11.29,11.32,532131
20-Jul-10,11.28,11.31,11.27,11.31,330016
19-Jul-10,11.28,11.28,11.26,11.28,377000
16-Jul-10,11.30,11.30,11.26,11.26,661411
15-Jul-10,11.28,11.30,11.27,11.28,251434
14-Jul-10,11.28,11.30,11.27,11.28,374199
13-Jul-10,11.32,11.32,11.27,11.29,351605
12-Jul-10,11.27,11.31,11.27,11.29,277146
9-Jul-10,11.29,11.30,11.27,11.28,327369
8-Jul-10,11.25,11.31,11.24,11.30,962881
7-Jul-10,11.24,11.26,11.23,11.26,893211
6-Jul-10,11.23,11.25,11.21,11.23,693560
5-Jul-10,11.22,11.22,11.22,11.22,0
2-Jul-10,11.23,11.23,11.21,11.22,293894
1-Jul-10,11.22,11.23,11.21,11.22,489410
30-Jun-10,11.22,11.24,11.21,11.22,811267
29-Jun-10,11.22,11.24,11.20,11.21,1067122
28-Jun-10,11.23,11.25,11.22,11.22,275006
25-Jun-10,11.24,11.25,11.19,11.23,1150086
24-Jun-10,11.21,11.22,11.21,11.21,351809
23-Jun-10,11.21,11.23,11.21,11.23,282550
22-Jun-10,11.23,11.25,11.21,11.21,636514
21-Jun-10,11.21,11.22,11.19,11.22,505470
18-Jun-10,11.20,11.21,11.19,11.20,786572
17-Jun-10,11.19,11.21,11.16,11.18,447517
16-Jun-10,11.16,11.18,11.16,11.18,260818
15-Jun-10,11.19,11.21,11.15,11.16,576612
14-Jun-10,11.16,11.19,11.15,11.17,920320
11-Jun-10,11.12,11.15,11.12,11.15,543214
10-Jun-10,11.20,11.20,11.09,11.15,861116
9-Jun-10,11.05,11.10,11.02,11.10,792997
8-Jun-10,11.05,11.05,11.00,11.00,545454
7-Jun-10,11.06,11.06,11.02,11.03,315813
4-Jun-10,11.06,11.07,11.01,11.03,385130
3-Jun-10,11.06,11.12,11.02,11.08,399808
2-Jun-10,11.02,11.09,11.01,11.08,286897
1-Jun-10,11.07,11.08,11.00,11.01,454988
31-May-10,11.07,11.07,11.07,11.07,0
28-May-10,11.04,11.09,11.01,11.07,401762
27-May-10,11.02,11.10,11.00,11.06,545142
26-May-10,11.01,11.04,10.99,11.01,580317
25-May-10,11.05,11.07,10.98,10.99,751369
24-May-10,11.04,11.08,11.02,11.07,324049
21-May-10,10.96,11.07,10.94,11.07,774242
20-May-10,11.07,11.08,10.99,11.00,966555
19-May-10,11.05,11.09,10.99,11.07,557511
18-May-10,11.15,11.15,11.05,11.05,433110
17-May-10,11.10,11.14,11.05,11.14,888499
