Date,Open,High,Low,Close,Volume
1-Jun-10,6.16,6.37,6.08,6.17,6000673
31-May-10,6.20,6.20,6.20,6.20,0
28-May-10,6.29,6.30,6.10,6.20,5799581
27-May-10,6.22,6.35,6.14,6.33,5430304
26-May-10,5.94,6.25,5.90,6.06,7488968
25-May-10,5.53,5.92,5.51,5.90,5954914
24-May-10,5.59,5.81,5.55,5.73,6012662
21-May-10,5.36,5.72,5.30,5.62,6800119
20-May-10,5.63,5.65,5.45,5.45,7929251
19-May-10,5.69,5.86,5.62,5.78,5773244
18-May-10,5.92,5.97,5.72,5.73,5092727
17-May-10,5.67,5.89,5.65,5.88,5845890
14-May-10,5.78,5.81,5.65,5.71,5111843
13-May-10,5.89,5.98,5.78,5.81,5555344
12-May-10,5.73,5.89,5.73,5.89,8543126
11-May-10,5.69,5.78,5.55,5.70,6514467
10-May-10,5.61,5.70,5.48,5.68,7278442
7-May-10,5.46,5.65,5.22,5.32,9847595
6-May-10,5.61,5.70,5.14,5.47,13035085
5-May-10,5.48,5.78,5.41,5.59,8095819
4-May-10,5.60,5.65,5.41,5.54,12311910
3-May-10,5.63,5.79,5.55,5.70,8068498
30-Apr-10,5.65,5.80,5.56,5.59,7992200
29-Apr-10,5.81,5.93,5.61,5.68,11896123
28-Apr-10,6.35,6.45,5.70,5.77,41522213
27-Apr-10,6.61,6.72,6.45,6.52,13496532
26-Apr-10,6.52,6.67,6.43,6.65,10288233
23-Apr-10,6.46,6.57,6.40,6.52,8980185
22-Apr-10,6.42,6.68,6.30,6.45,8548679
21-Apr-10,6.70,6.78,6.42,6.50,6076603
20-Apr-10,6.75,6.84,6.62,6.71,7251582
19-Apr-10,6.60,6.84,6.50,6.70,10639178
16-Apr-10,6.66,6.70,6.43,6.63,7932660
15-Apr-10,6.65,6.83,6.51,6.66,13543091
14-Apr-10,6.37,6.74,6.35,6.71,20738023
13-Apr-10,5.85,6.40,5.77,6.35,23580874
12-Apr-10,5.89,5.93,5.83,5.88,5496412
9-Apr-10,5.92,5.92,5.76,5.84,4870037
8-Apr-10,5.89,5.94,5.73,5.85,7203587
7-Apr-10,5.77,5.83,5.69,5.73,7689489
6-Apr-10,5.66,5.80,5.62,5.76,5135755
5-Apr-10,5.77,5.78,5.58,5.66,5858910
2-Apr-10,5.73,5.73,5.73,5.73,0
1-Apr-10,5.65,5.85,5.61,5.73,11838254
31-Mar-10,5.46,5.68,5.46,5.58,4732914
30-Mar-10,5.50,5.55,5.47,5.50,3354660
29-Mar-10,5.52,5.56,5.48,5.51,3268007
26-Mar-10,5.46,5.63,5.46,5.52,3387771
25-Mar-10,5.51,5.70,5.45,5.45,9161428
24-Mar-10,5.46,5.52,5.41,5.47,4751657
